ID,numid,weighted_current
G1,"1",0.435580961498273
G10,"10",0.427189136664638
G100,"100",0.371565017475715
G1000,"1000",0.328900732231356
G1001,"1001",0.344217650388637
G1002,"1002",0.350289055674958
G1003,"1003",0.326375065686414
G1004,"1004",0.319476484661471
G1005,"1005",0.317886472629411
G1006,"1006",0.323958343182155
G1007,"1007",0.336470793132558
G1008,"1008",0.359450052952306
G1009,"1009",0.385080328931158
G101,"101",0.352528742912915
G1010,"1010",0.408043810731006
G1011,"1011",0.424106628866789
G1012,"1012",0.434402675657193
G1013,"1013",0.391851116797441
G1014,"1014",0.375723460330492
G1015,"1015",0.303839424021407
G1016,"1016",0.305192294564914
G1017,"1017",0.320478811464439
G1018,"1018",0.350962706372862
G1019,"1019",0.389303277182008
G102,"102",0.387969955440253
G1020,"1020",0.425403876480037
G1021,"1021",0.46091955881921
G1022,"1022",0.440249712513953
G1023,"1023",0.413157578499607
G1024,"1024",0.630276475317734
G1025,"1025",0.518768997642207
G1026,"1026",0.415017901728742
G1027,"1027",0.355129588063931
G1028,"1028",0.324512143690348
G1029,"1029",0.353150693243754
G103,"103",0.396985822205999
G1030,"1030",0.337447697239041
G1031,"1031",0.320025561693075
G1032,"1032",0.300931630420315
G1033,"1033",0.276815823867463
G1034,"1034",0.261062822431366
G1035,"1035",0.278488692249787
G1036,"1036",0.300054220208215
G1037,"1037",0.32048520147796
G1038,"1038",0.334466447523197
G1039,"1039",0.335715077706553
G104,"104",0.737352228589073
G1040,"1040",0.32493044349444
G1041,"1041",0.319169362136776
G1042,"1042",0.310715399452303
G1043,"1043",0.315817651273689
G1044,"1044",0.3252078399325
G1045,"1045",0.342552106956841
G1046,"1046",0.364894351890368
G1047,"1047",0.385764071781763
G1048,"1048",0.402817462006786
G1049,"1049",0.415500287034197
G105,"105",0.730301757387781
G1050,"1050",0.386083732650214
G1051,"1051",0.378167876598655
G1052,"1052",0.354477545759898
G1053,"1053",0.309876345399771
G1054,"1054",0.305494783163965
G1055,"1055",0.317695407240146
G1056,"1056",0.339530472454329
G1057,"1057",0.369290738948855
G1058,"1058",0.401892505263357
G1059,"1059",0.430568479829321
G106,"106",0.675947273556402
G1060,"1060",0.448614487055954
G1061,"1061",0.628771867680274
G1062,"1062",0.555639017517071
G1063,"1063",0.438774785581236
G1064,"1064",0.383878600722602
G1065,"1065",0.330419772545146
G1066,"1066",0.30562043511764
G1067,"1067",0.33005274783016
G1068,"1068",0.314326341678475
G1069,"1069",0.293120456372767
G107,"107",0.599273457741983
G1070,"1070",0.27086283254066
G1071,"1071",0.251047890122208
G1072,"1072",0.252895051266384
G1073,"1073",0.271580055674748
G1074,"1074",0.291812894410115
G1075,"1075",0.314566235171089
G1076,"1076",0.325627782937659
G1077,"1077",0.323283246290291
G1078,"1078",0.316725860235532
G1079,"1079",0.305871723161211
G108,"108",0.516294104345969
G1080,"1080",0.306984115778874
G1081,"1081",0.314610161097297
G1082,"1082",0.328491119716353
G1083,"1083",0.346702393497157
G1084,"1084",0.365076636615459
G1085,"1085",0.380978060649605
G1086,"1086",0.393805368657396
G1087,"1087",0.377384239580112
G1088,"1088",0.359773008878742
G1089,"1089",0.320707283312256
G109,"109",0.454005221368491
G1090,"1090",0.311197158303152
G1091,"1091",0.338989719960216
G1092,"1092",0.357529032346864
G1093,"1093",0.384044620205259
G1094,"1094",0.41067319587664
G1095,"1095",0.578256757501386
G1096,"1096",0.472464100539613
G1097,"1097",0.385734591925461
