"","area","ID","numid","par.JAN.2016","par.FEB.2016","par.MAR.2016","par.APR.2016","par.MAY.2016","par.JUN.2016","par.JUL.2016","par.AUG.2016","par.SEP.2016","par.OCT.2016","par.NOV.2016","par.DEC.2016","par.JAN.2017","par.FEB.2017","par.MAR.2017","par.APR.2017","par.MAY.2017","par.JUN.2017","par.JUL.2017","par.AUG.2017","par.SEP.2017","par.OCT.2017","par.NOV.2017","par.DEC.2017","par.JAN.2018","par.FEB.2018","par.MAR.2018","par.APR.2018","par.MAY.2018","par.JUN.2018","par.JUL.2018","par.AUG.2018","par.SEP.2018","par.OCT.2018","par.NOV.2018","par.DEC.2018","par.JAN.2019","par.FEB.2019","par.MAR.2019","par.APR.2019","par.MAY.2019","par.JUN.2019","par.JUL.2019","par.AUG.2019","par.SEP.2019","par.OCT.2019","par.NOV.2019","par.DEC.2019","par.JAN.2012","par.FEB.2012","par.MAR.2012","par.APR.2012","par.MAY.2012","par.JUN.2012","par.JUL.2012","par.AUG.2012","par.SEP.2012","par.OCT.2012","par.NOV.2012","par.DEC.2012","par.JAN.2013","par.FEB.2013","par.MAR.2013","par.APR.2013","par.MAY.2013","par.JUN.2013","par.JUL.2013","par.AUG.2013","par.SEP.2013","par.OCT.2013","par.NOV.2013","par.DEC.2013","par.JAN.2014","par.FEB.2014","par.MAR.2014","par.APR.2014","par.MAY.2014","par.JUN.2014","par.JUL.2014","par.AUG.2014","par.SEP.2014","par.OCT.2014","par.NOV.2014","par.DEC.2014","par.JAN.2015","par.FEB.2015","par.MAR.2015","par.APR.2015","par.MAY.2015","par.JUN.2015","par.JUL.2015","par.AUG.2015","par.SEP.2015","par.OCT.2015","par.NOV.2015","par.DEC.2015","par.JAN.2020","par.FEB.2020","par.MAR.2020","par.APR.2020","par.MAY.2020","par.JUN.2020","par.JUL.2020","par.AUG.2020","par.SEP.2020","par.OCT.2020","par.NOV.2020","par.DEC.2020","par.JAN.2021","par.FEB.2021","par.MAR.2021","par.APR.2021","par.MAY.2021","par.JUN.2021","par.JUL.2021","par.AUG.2021","par.SEP.2021","par.OCT.2021","par.NOV.2021","par.DEC.2021","par.JAN.2022","par.FEB.2022","par.MAR.2022","par.APR.2022","par.MAY.2022","par.JUN.2022","par.JUL.2022","par.AUG.2022","par.SEP.2022","par.OCT.2022","par.NOV.2022","par.DEC.2022","par.JAN.2023","par.FEB.2023","par.MAR.2023","par.APR.2023","par.MAY.2023","par.JUN.2023","par.JUL.2023","par.AUG.2023","par.SEP.2023","par.OCT.2023","par.NOV.2023","par.DEC.2023","par.JAN.2024","par.FEB.2024","par.MAR.2024","par.APR.2024","par.MAY.2024"
"1",1.78,"G1",1,11.2457998024194,19.4547829758065,28.8246951303763,52.8629788373656,58.4151009408602,68.921107405914,66.260116780914,62.740027594086,45.0317628642473,21.2187103723118,13.2613020094086,10.9866581700269,13.3149108790323,17.5331747459677,24.3076238494624,38.7961106518817,63.2961801370968,65.879854077957,75.1698401465054,63.5071025201613,44.7142446317204,28.8510331236559,11.2004634630376,11.4170934637097,9.55711499193549,21.7282186330645,35.6056677836022,41.4896180215054,66.0349047258065,65.0587666438172,72.5787500456989,60.4825863763441,45.0282597620968,27.3401479206989,15.5539991196237,9.68398573790323,11.6482901061828,19.9223483467742,39.6168705981183,44.4773919932796,62.9342317217742,69.5712405403226,63.009299780914,58.1723464018817,40.0283393293011,27.2654168844086,16.6991518333333,7.0513877264785,10.2181997056452,19.1142101518817,26.0458042916667,42.3273291626344,59.5161592311828,50.3255144099462,68.5351947916667,64.4373683938172,49.5275528481183,24.0191494879032,13.836667344086,8.95350708198925,14.5919017526882,19.7535495188172,31.0281639072581,45.4388812795699,59.0358406733871,69.1679052580645,76.7639653293011,55.6875515147849,39.5359602715054,30.6901365712366,16.4733043870968,12.6817227580645,13.7983405577957,20.8251145604839,31.8115680658602,48.0214463508065,57.7287111236559,71.6068097513441,73.4352275967742,63.9345402258065,47.8482177862903,25.2788387298387,17.2559965645161,10.6572957123656,14.0648078817204,20.6147411787634,33.266677016129,50.4308061317204,66.4286183844086,74.7191101787634,73.9808422889785,60.8838710819892,42.8645187634409,25.3444562379032,15.6559561075269,7.92508508064516,8.96383349932796,22.5538486209677,33.4208313844086,52.6918187177419,55.2591708252688,55.7147841424731,66.6996238185484,61.6678782446237,45.2040497110215,29.6342510900538,13.42844025,9.59633823387097,10.9223053548387,18.5539352916667,31.6715306599462,52.9716616236559,59.4938834811828,71.9416132284946,72.7321710376344,60.3774803024194,40.9652182701613,22.8539788776882,10.9456130443548,8.30382209946237,12.4195010107527,21.5171869126344,27.9922187983871,44.4502394341398,50.8111189784946,56.4227294032258,73.3925980336021,64.217192844086,48.8056738951613,28.9336302123656,15.2709203817204,7.98645207459677,10.9065641908602,19.9669254072581,31.3268629422043,38.0279975430107,63.3813893172043,68.4281562325269,77.1777075026882,60.933815436828,43.6911825174731,25.6195576008065,16.2583202473118,8.34576459206989,9.34257125336022,17.1608550067204,32.0139333077957,46.7148575846774,56.5931547204301
"2",2.2,"G2",2,15.8225378911111,27.3492856727778,40.5450036427778,73.9652694222222,82.2980940933333,96.3064879816667,93.1155841144445,87.6391897761111,63.3592859061111,29.9704384833333,18.7641044527778,15.5679660277778,18.7696772355556,24.6186309638889,34.3407208783333,54.5306904972222,88.5254222166667,92.4077205044445,105.252435421667,88.84311975,62.6176908677778,40.5836990011111,15.9757231483333,16.0057512133333,13.58085611,30.9844245266667,50.1994601388889,57.8718972738889,92.6601101122222,91.6850431811111,101.296114878333,84.6078222022222,63.1650332844444,38.3871052472222,21.9848982811111,13.59778028,16.3808578694444,28.2634583111111,55.3795180788889,62.7039307727778,88.0567790122222,97.6646001394444,88.7991344888889,81.74882206,56.6130208688889,38.3844188438889,23.5071573611111,9.98841039666667,14.1894344705556,26.4823938033333,35.9251688227778,58.6899932666667,82.6095692844444,69.6306572888889,95.1130260427778,89.3374282955556,68.6524816644444,33.2832675905555,19.1876789322222,12.3596744388889,20.1905723883333,26.8307052938889,42.8752926033333,62.9349668777778,81.1252370855555,95.1557534277778,106.729665268889,76.6966106416667,54.7204646127778,42.6111880505556,22.858984735,17.5373280572222,19.0213304066667,29.0041776577778,43.7682039961111,66.2847087233333,79.2630982466667,99.0184972944444,101.684933863333,88.4106925622222,66.3357512255556,35.2123517411111,24.105040995,15.1087338313889,19.8140218844444,29.0302659466667,46.5729488977778,70.32012659,92.8539203633333,104.236326651667,103.089651056667,85.1091496488889,60.1683673422222,35.6528778494444,22.0924328533333,11.2143163972222,12.6350179816667,32.1109564733333,47.0205534511111,73.8828226666667,77.6098852027778,79.0946545955556,94.5510160166667,86.5802767944444,63.3493787194444,41.6218674816667,19.0273769922222,13.484618355,15.4498791561111,26.3234876588889,44.7180909111111,74.1138643177778,83.5833607122222,100.56126759,102.36430263,84.8165987161111,57.7764948377778,32.4038676683333,15.5104371288889,11.8641617855556,17.6500618716667,30.4376781388889,39.4964765616667,62.7549481422222,71.4757793977778,79.3729210922222,102.666172322222,89.9947646438889,68.4789980088889,40.5820340222222,21.5559692761111,11.5023896905556,15.3547426344444,28.3087369416667,44.3695353127778,53.8272667766667,89.6499935255556,96.4281103166667,108.01757634,85.7082883622222,61.7836080877778,36.5498380827778,22.979401885,11.8071125838889,13.3711851205556,24.6879490272222,45.1917431127778,65.7655673677778,80.5830367322222
"3",0.9,"G3",3,10.1065437389807,17.4880068953168,25.7760160922865,47.4365533663912,52.3450055440771,61.8181983918733,59.534012161157,56.2493620144628,40.3620363829201,19.1263218698347,11.9181613498623,9.89707067217631,11.9603133987603,15.7949028057851,21.9424095440771,34.948477137741,56.7844560971074,59.107821976584,67.5073121453168,56.8489147589532,40.0639014304408,25.8483208078512,10.0848222809917,10.2262951439394,8.60713864256198,19.4824216246556,32.0593569876033,37.2363779125344,59.3233092575758,58.0595766198347,65.1547511212121,54.2286649449036,40.3626695730028,24.5031914504132,13.9591283581267,8.74014462947658,10.4903635282369,17.9135898050964,35.4692064077135,39.9663795020661,56.4721609435262,62.5957565702479,56.690866577135,52.3817882224518,35.931931738292,24.3741098533058,14.920755523416,6.35535838705234,9.03776302341598,17.0416726632231,23.2133642458678,37.7374957679063,52.6820495606061,44.2179022066116,60.8423065564738,57.4790742561983,44.1319287796143,21.3466054318182,12.3265204325069,7.87025085123967,12.8992045041322,17.4704442024793,27.745665911157,40.3882313973829,52.6419783822314,61.3907578374656,68.3135559008265,49.6188362713499,35.182360838843,27.350715350551,14.5808834194215,11.2413257066116,12.203365838843,18.5657730564738,28.2378378539945,42.959839334022,51.2639100151515,63.6500309263085,65.4555162589532,56.8837880743802,42.412590588843,22.3531064476584,15.3388741742424,9.54289481336088,12.5629806446281,18.4386210702479,29.7746683526171,45.1973888932507,59.5299852575758,66.9290043836088,66.2347543250689,54.6276252699724,38.4253871170799,22.7060426584022,14.0514075881543,7.067961880854,8.14791626652893,20.173657553719,30.0187987830579,47.273723876033,49.5800966150138,49.8729515261708,59.6682391955923,55.3031634986226,40.5086569249311,26.5223160571625,12.1133736969697,8.57726974104683,9.86165600826446,16.6379064469697,28.4367038822314,47.4727368168044,53.2634856921488,64.4896990378788,65.1963476033058,54.2140802410468,36.6792749593664,20.5301169855372,9.97582992975206,7.49915277548209,11.1259822396694,19.2849655358127,25.1353007258953,39.9102085206612,45.3664535709366,50.8244297692837,65.8592064049587,57.5657766673554,43.6946106391185,25.8026336652893,13.6368277754821,7.24154556852617,9.82100057575758,17.7146500585399,27.9459626060606,34.0680673588154,56.3813374311295,60.914552822314,68.9736543168044,54.4406923243802,38.9780034180441,22.8616981563361,14.4771749552342,7.43446303650138,8.3098143684573,15.2793576873278,28.6578412651515,41.7678222623967,50.3177705971074
"4",2.27,"G4",4,13.1523523205538,22.7674796182109,33.8097647342918,61.6526438178914,68.9167619680511,80.2821909132055,77.8137132119276,72.8295177321619,52.8220103242812,24.9518527784878,15.6526008290735,13.0023069073482,15.6279385676251,20.417011042066,28.5253603445154,45.3643163136315,73.6360723067093,77.0568755623003,87.8320919781683,74.040490087327,52.0474139233227,33.8815016176784,13.3844520649627,13.2620715239617,11.3662850319489,26.129962513312,42.001611772098,47.9066976927583,77.2810484792332,76.775865741214,84.2193690548456,70.3710382215123,52.6186995644302,31.9958823700746,18.3541900457934,11.2332989563365,13.6160549068158,23.6357668381257,46.0364727412141,52.3295941379127,73.4451369776358,81.5196547609159,74.0526798998935,68.2381643610224,47.3312773269436,31.9621950761448,19.5770797848775,8.29217732055378,11.6060550963791,21.6586354728435,29.2729094872204,48.2503183684771,68.0030366453674,56.7706390979766,78.211037442492,73.5620602236422,56.4467601395101,27.248407900426,15.6171878189563,9.94274172949947,16.5263994169329,21.421100128328,34.8275172523962,51.4462597188498,65.8554224739084,77.4916533003195,88.3916374430245,62.647714698083,44.8141101932907,35.0548801549521,18.7097593530351,14.3154670623003,15.4620031373802,23.9166750820021,35.4521622390841,54.0959994068158,64.2769994834931,81.006035599574,83.9011425740149,72.6488393205538,54.5686635197018,28.9106535026624,19.8665708280085,12.6319504917465,16.5279698775293,24.2181009595314,38.8092874440895,58.4985898168264,77.3190333844515,86.7386164052183,85.5985917742279,70.7005303525027,50.0827727263046,29.6543552241747,18.4349662332268,9.34671361075612,10.4388382465389,27.0134125654952,39.1121665314164,61.5563639179979,64.6551024254526,66.477176630458,79.6333702449414,72.3056609041534,52.8313238322684,34.5799098503727,15.894131972311,11.1963204739084,12.8747156230032,22.0293619499468,37.3736587870075,61.7918088604899,69.7131181927583,83.7053620202343,85.7891823077742,70.904546414803,48.3282125654952,27.0639047332268,12.9051950883919,9.97321472364217,14.8752293722045,25.4633906794462,32.9939958812567,52.5098466826411,59.6225434834931,66.1875672800852,85.6016130223642,75.2176374627263,57.196464057508,33.8511314302449,17.9953342582535,9.74399313897764,12.7495874478168,23.7381831751864,36.9659225372737,44.6196236059638,74.9748053290735,80.449352028754,89.951276028754,71.2893749776358,51.5868861341853,30.6737298695421,19.0411120804047,9.7710198972311,11.1842189052183,20.6596508013845,37.5971869185303,54.5084721608094,67.5015516666667
"5",2,"G5",5,15.6196224852587,27.0169437400722,39.8238164651023,73.0149697256318,80.9344408886883,94.9549575141396,91.8460408838748,86.4224410977738,62.4381531383875,29.6591012873045,18.5049175427196,15.3782179578821,18.5041352018652,24.3382990740072,33.9987538886883,53.9501922527076,87.3708626705776,91.0301539825511,103.954788730144,87.4173097250301,61.7253771627557,39.9382746898315,15.7591673622142,15.7543465815283,13.4008309972924,30.4363958252106,49.5327882280385,57.1872481447052,91.5148177490975,89.9065046642599,100.039192687124,83.3794064548736,62.2262656281588,37.805531679302,21.6544132466907,13.4909545601685,16.1901528649218,27.8529523661252,54.5523902551143,61.8826646404934,86.882455545728,96.4010136161251,87.7635143327317,80.7721353919976,55.7739019651023,37.7128766651625,23.1078875174489,9.87220368712395,13.9402917490975,26.1877633980144,35.5094800508424,57.8658066976534,80.9750668959085,68.2428784259928,93.5519967629362,87.9388384368231,67.6029470950662,32.8659984473526,19.0152426401925,12.1617184151625,19.8171686762936,26.6749313303249,42.5499520658845,62.1856708570999,80.3750893065584,93.9343355150421,104.794358777377,75.7928268898917,54.0534546143201,42.0502325646811,22.474195929302,17.2796586696751,18.7033104687124,28.588870333935,43.2053727617329,65.8777249208784,78.3438208381468,97.6237130568592,100.169223515042,87.0804660890493,65.0623667421781,34.6076515830325,23.7180277451865,14.8415356753911,19.4633368315283,28.5015694843562,45.7956333128761,69.3365161350782,91.5605999921781,102.755905054452,101.591485356197,83.9172400336943,59.2891608718412,35.0994059867629,21.7581165072202,10.9812950165463,12.6060323426594,31.456998032491,46.3929837367629,72.8831554031288,76.58500530355,77.6104034717208,92.7143249001203,85.2838203068592,62.3777541404934,40.9662044678099,18.8064930565584,13.2413831811071,15.2964826811071,25.8947128643201,44.0988514238869,73.1306559163658,82.2738423059567,99.25886758213,100.766598314079,83.5785381245487,56.807513961793,31.9240393294224,15.4777878622142,11.7027355126354,17.3108460565584,29.9338072713598,38.9259990367028,61.8105989085439,70.257089906438,78.572159095367,101.327586967509,88.6835724672082,67.3172400084236,39.831385421781,21.1215315012034,11.3785367399218,15.1849256624549,27.6017317668472,43.6686341576414,53.2814387572202,87.8934001341757,94.7479484951865,106.484390405536,84.4511589202768,60.6706630899519,35.9260515231649,22.5969466218412,11.6452789473526,13.1132714377256,24.2513903363418,44.63558763929,64.9014508125752,78.9854144485559
"6",2,"G6",6,15.824283442029,27.4128953164251,40.444202486715,74.3647215628019,82.608623388285,96.6463142258454,93.8090434698068,87.747427307971,63.6224227983092,30.0793467699275,18.8170976002415,15.6513524094203,18.7333426038647,24.4854844311594,34.2349878043478,54.6626315386473,88.6090078019324,92.4119398931159,106.219079667271,89.1280616956522,62.6513989498792,40.7285356062802,16.0863745193237,15.8626598315217,13.6502177832126,31.3799207445652,50.5864130054348,57.6219113176328,93.1585876745169,91.872632326087,101.625315885266,84.6212267137681,63.2674663943237,38.4816814782609,22.040623388285,13.5180660036232,16.3684702783816,28.3493965326087,55.3129264625604,62.9571555338164,88.4105065024154,97.9435879214976,89.1867606485507,82.3338914565217,56.8723387795894,38.2470881612319,23.5031542125604,9.93741724033816,13.8217746509662,25.8919164100242,34.8887360966184,57.734233236715,80.8449296219807,67.0898942439614,93.6895830374396,88.1279049305556,67.6321295483092,32.6285055996377,18.6279815948068,11.7475533315217,19.7070092083333,25.5698979480676,41.6885939951691,61.6528502258454,78.5707262391304,92.5875315181159,105.877742491546,75.0123865338164,53.7432986225845,42.0947221449275,22.2360320350242,17.0581824311594,18.3316241654589,28.6308433586956,42.1002332391304,65.3518307826087,76.5483253164251,96.6816472167875,100.620024400966,87.178072147343,65.0224603629227,34.4942553242754,23.736453531401,15.1150020827295,19.820975513285,28.936956919686,46.5216824009662,70.3615399637681,93.0837303272947,104.522172835145,103.088509882246,85.1206262826087,60.2384940072464,35.5720692028985,22.1178573852657,11.1261739378019,12.6214734782609,32.2937858592995,47.0293205199275,74.0523804842995,77.7041090277778,79.4188776932367,95.4474710422705,87.0516330682367,63.5287160295894,41.4347849365942,19.1230491123188,13.3775514217995,15.5114511364734,26.4224831310386,44.9913974879227,74.5283210567633,83.5360152789855,100.949921443841,103.427074094203,85.30302797343,58.0319924130435,32.4356582361111,15.658335576087,11.9996512608696,17.8577587222222,30.5329636618357,39.5647161871981,63.0628725688406,71.4499043611111,79.889292834541,103.331938608696,90.6975947047102,68.6845528454106,40.6745877807971,21.5022715036232,11.7987297427536,15.3284676425121,28.2551932826087,44.6283435150966,54.0617398737923,90.166084115942,97.007701839372,108.777629467391,86.102695468599,62.0121611871981,37.0353313707729,22.9673026902174,11.8202562403382,13.4370183629227,24.9024550730676,45.5364713442029,65.7886399009662,81.1583941968599
"7",2.15,"G7",7,12.4331435653153,21.5105740253378,31.5763601858108,58.0259165777027,64.2208660765766,75.441972580518,73.1136749808559,68.6529085365991,49.5596351216216,23.6446294222973,14.7158524510135,12.2665678102477,14.7220375827703,19.4450649757883,27.1313160118243,42.9812550123874,69.3891943980856,72.3330435884009,82.6869512460586,69.3125094527027,49.0121387353604,31.6976695731982,12.5476745197072,12.5153759481982,10.6813254954955,24.0780874009009,39.4745361632883,45.4961131002252,72.8061930686937,71.0377827240991,79.5084010146396,66.1989954037162,49.4198984239865,30.0044277117117,17.2013580844595,10.7826747668919,12.9118675292793,22.1951054690315,43.2871967460586,49.1481113051802,69.0305005743243,76.7986988862613,69.9106503552928,64.3918503688063,44.3281060320946,29.8625132927928,18.3257670078829,7.85552983558559,10.8720729881757,20.6681591615991,28.0907264076577,45.7050206221847,63.5628040135135,53.2509174718468,73.6680200664414,69.4943512820946,53.4205508502252,25.863362615991,14.9735641677928,9.52663924324324,15.5404818310811,20.9640215585586,33.7926057595721,49.0066604634009,63.5995838733108,73.9411277719595,82.6476458006757,59.8503800472973,42.5818806480856,33.1160441244369,17.5670948243243,13.5720465765766,14.6497743592342,22.5899457156532,34.0454601120496,52.1605492477477,61.749116143018,77.0182858350225,79.095951276464,68.6426929380631,51.0702000878378,27.0796927584459,18.6804818513514,11.776641097973,15.4232186013513,22.5872349802928,36.3331657432432,55.0264122820946,72.6889408744369,81.5526867865991,80.615033170045,66.5876508828829,47.0936693541667,27.8937908710586,17.3012024025901,8.69270722691441,10.1069203620496,24.8704116492117,36.8928242629505,57.851133536036,60.8399239836712,61.5299801739865,73.4440419155405,67.7187712623874,49.5287137494369,32.4844113541667,14.9991499234234,10.4748857561937,12.2148689290541,20.5128820546171,35.0578220720721,58.0500931801802,65.3032266351351,78.8163529836712,79.9680488012387,66.3922471824324,45.0297612274775,25.3615745343468,12.4178940861486,9.34965954054054,13.7062682263514,23.7357626109234,30.9680737060811,49.1111870129505,55.5774657308558,62.6368317708333,80.5179166632883,70.4351508755631,53.3901192015766,31.4952848153153,16.7302522027027,9.12540662640766,12.138157097973,21.7144828896396,34.7576445934685,42.5687977449324,69.6101719560811,75.0628144313063,84.5869094938063,67.0981244487613,48.1181928851351,28.5771478986487,17.9406029921171,9.28349008220721,10.417881294482,19.3723724634009,35.515218919482,51.746680759009,62.5814619082207
"8",0.71,"G8",8,8.2570329023569,14.3319614848485,21.1843377104377,39.1062534949495,43.3614505707071,50.8963254107744,49.3411046026936,46.0431985589226,33.3421249090909,15.6716392575758,9.82282111111111,8.16631404713805,9.76661615151515,12.7291434646465,17.7136622356902,28.5740906397306,46.4667917811448,48.4688000757576,55.9838931026936,46.9580388686869,32.8411020185185,21.3864695050505,8.38935776094276,8.2599427962963,7.12162611279461,16.5018915942761,26.5872727020202,30.120410942761,48.8604501195286,48.2999271077441,53.4183963265993,44.4229171111111,33.1723574360269,20.2015333670034,11.5216264057239,6.99825351178451,8.53499077609428,14.7913421481481,29.0399711649832,32.9279072828283,46.4915525589226,51.3385667979798,46.6348804410774,43.2608045959596,29.7613983417508,19.9765027222222,12.3034171010101,5.12767014141414,7.14380295622896,13.4062969882155,18.0340163164983,30.1233037272727,42.095382986532,34.5529724882155,48.808977979798,46.0359638569024,35.3105514579125,16.9342216144781,9.56839221380471,5.96132690909091,10.2423301296296,12.9890948148148,21.4063123063973,31.8882081683502,40.4580299158249,47.8777366599327,55.5914846195286,38.9344942087542,27.9242805808081,21.9633183804714,11.5066261548822,8.82847004713805,9.45423235016835,14.9342895050505,21.5767281380471,33.8588693198653,39.3847597239057,50.0564707255892,52.7617505050505,45.5345875151515,33.9337033922559,17.9025410690236,12.3439973771044,7.8965032020202,10.3783734713805,15.1343591060606,24.4377204713805,36.9808902154882,48.8866636969697,55.0343461363636,54.2215749612795,44.6498870875421,31.5653049360269,18.5749680875421,11.569005986532,5.7979545,6.50159360942761,16.9198169040404,24.5328415740741,38.8514323131313,40.6399408922559,41.6495391414141,50.358128023569,45.8244863855219,33.4114938468013,21.6225772946128,9.9706877979798,6.97744913720539,8.07615283164983,13.7883390892256,23.5603321750842,39.2225930639731,43.7388784242424,53.0663340589226,54.5924426599327,44.9056362929293,30.4956818047138,16.9112108602694,8.12183694949495,6.2803233030303,9.41246274410774,15.9764903939394,20.6938774410774,33.142015047138,37.4111872121212,41.7805624410774,54.4156273636364,47.8846255875421,36.1736517171717,21.425036547138,11.2614806195286,6.19211891582492,7.9694599983165,14.8039076296296,23.3157648939394,28.065632473064,47.3357665892256,50.9339257710438,57.2367010875421,45.0635355622896,32.4606293367003,19.4114402693603,11.9486971868687,6.11029934680135,6.9865683013468,12.9259431296296,23.7735087979798,34.2436077003367,42.4721781279461
"9",2.49,"G9",9,15.4441996777778,26.7627188164251,39.2879910306763,72.4882829444444,80.2007911417874,93.92635807657,91.3257380243961,85.3809821099034,61.8008582572464,29.401091597343,18.3339469613527,15.2799430702899,18.278248147343,23.925467163285,33.4683504983092,53.3470423775362,86.2867769487923,89.8601031743961,103.528972870048,86.5495012357488,60.9865974316425,39.5702483388889,15.7306588934783,15.4368256021739,13.324003394686,30.3878311492754,49.3147962541063,56.2841178405797,90.7192424628019,88.9137286845411,99.0020202531401,82.2765202454106,61.4698526623188,37.4105638345411,21.4099451137681,13.2337726956522,15.9665688142512,27.6415648275362,53.752275971256,61.2983520384058,86.1019958528985,95.396900718116,86.9517614647343,80.2984589497584,55.3272508644928,37.0696106074879,22.8784599251208,9.66877267391305,13.4581781789855,25.4279511644928,34.3805219661836,56.5385289756039,78.3810999884058,65.4315190062802,91.2551268862319,85.984090694686,65.9979525850242,31.9798970678744,18.3701204591787,11.5619239007246,19.172398792029,25.2775357917874,41.0912706490338,60.2648120620773,77.4808275507246,90.7029621297101,102.842236651449,73.5081984333333,52.6975229280193,41.1610784243961,21.6513618888889,16.711979368599,17.9981620241546,28.0295640608696,41.3536338565217,64.2900313463768,75.2259152427536,94.5394699113527,98.1488864111111,84.9793048661836,63.1453532115942,33.6523002487923,23.1661217222222,14.7040224521739,19.2513179710145,28.0727664335749,45.131385971256,68.4000478777778,90.5326976415459,101.69807334686,100.208295207488,82.7085243942029,58.6050051637681,34.6082916041063,21.5187305471014,10.7872319519324,12.3975919460145,31.214044778744,45.7969897983092,71.952836894686,75.5727340256039,76.9566053504831,92.4742933806763,84.6205800736715,61.7551283449275,40.2740801149758,18.6305551688406,12.9638259039855,15.157693447343,25.6129161560386,43.8012546990338,72.5573220048309,81.2666754628019,98.2631684869565,100.455917321256,82.9386043200483,56.3427213009662,31.5318205591787,15.3764099202899,11.7130081468599,17.2960026654589,29.6423570451691,38.5510076012077,61.4136160164251,69.394167118116,77.9453157222222,100.524907812802,88.259028481401,66.6888747082126,39.4952069971015,20.844310344686,11.5605813852657,15.0145579233092,27.2044582103865,43.6001912847826,53.0629992364734,87.569664531401,94.4196364410628,106.049843379227,83.9227557152174,60.2627016492753,36.0695991111111,22.3995569391304,11.5861109038647,13.099794784058,24.3881555495169,44.5823653669082,64.3562246140097,78.9755601855072
"10",1.87,"G10",10,12.2808949686717,21.2758148621554,31.1742476052632,57.4195933458647,63.386432414787,74.5915528671679,72.3589342518797,67.8954267894737,48.8028237694236,23.3517597719298,14.4987452443609,12.1375587819549,14.5259259937343,19.3141210300752,26.8362557568922,42.4480861817043,68.5107972055138,71.5236890025063,81.8977578132832,68.3896698370927,48.3926785551378,31.2880669197995,12.3713977932331,12.3502453596491,10.5475841353383,23.6238482581454,39.0921432330827,45.0166662694236,72.0650673934837,69.7930518909774,78.6509546704261,65.3897849473684,48.7865504649123,29.5967693546366,16.9155808132832,10.6782012600251,12.7864897105263,21.9137941478697,42.7333208045113,48.5042818446115,68.2884302192982,76.1114812756892,69.1368377919799,63.8619429223058,43.7495013934837,29.3559374122807,18.0961860839599,7.68016707142857,10.4099787293233,20.1193877518797,27.4502559461153,44.7490065488722,61.8798392481203,51.0223450325815,71.9304994486216,68.2217907882205,52.3999238245614,25.0463183157895,14.2961634035088,9.10472729573935,15.1329996629073,20.1828043659148,32.8872409423559,47.4017038922306,61.8172357067669,71.842144612782,81.1517011102757,58.3109702318296,41.3173718233083,32.1643170588972,16.850153302005,13.1360865914787,14.1379713308271,22.0796608558897,33.0056732944862,50.8757914210526,59.8518579373434,75.1029253759398,77.5729004373434,67.1351831929825,49.6120245538847,26.3475490275689,18.2711991867168,11.5968506478697,15.2014993508772,22.2088394210526,35.8954111403509,54.3415316303258,71.8584667481203,80.664303,79.7151639987469,65.6899231954887,46.525252406015,27.5054376942356,17.095636433584,8.54884063972431,9.97712141478697,24.347063660401,36.434113254386,57.014052641604,60.0045264285714,60.6087157894737,72.396497650376,66.9417150877193,48.922942754386,31.9311040313283,14.781399235589,10.2735547481203,12.0903969035088,20.0683912431078,34.6183092932331,57.3425670100251,64.5280373446115,77.8558482957393,79.0492136516291,65.5448252293233,44.336373358396,24.9358659047619,12.2693310814536,9.24481293233083,13.4598901466165,23.3660363659148,30.6472302380952,48.5096831177945,54.7189102606516,62.0648770889724,79.6436500350877,69.6096737681704,52.7586905388471,30.9825455927318,16.4471708182957,9.04145140350877,12.0277993972431,21.2116242255639,34.4485963884712,42.3459460325814,68.9016870150376,74.352934245614,83.9501735764411,66.483246066416,47.5603712882206,28.3337976967419,17.7697044699248,9.21591919423559,10.3099590695489,19.29142620802,35.2793940100251,51.4842183709273,61.9214209674185
